期刊名称,JCR_2024JIF,JCR_Quartile,JCR_JIF_rank,JCR_Category,CAS_分区,CAS_Top,CAS_OpenAccess,ISSN,EISSN,出版商,国家,EI_学科,数据来源
AMERICAN JOURNAL OF CULTURAL SOCIOLOGY,1.2,Q3,127/219,SOCIOLOGY(SSCI),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF DANCE THERAPY,0.6,Q4,174/221,"PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF DENTISTRY,1.2,Q3,115/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF DERMATOPATHOLOGY,1.0,Q4,76/96,DERMATOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF DISTANCE EDUCATION,1.3,Q2,348/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,2.6,Q2,55/185,"PSYCHOLOGY, CLINICAL(SSCI);SUBSTANCE ABUSE(SCIE, SSCI)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY,1.0,Q3,391/617,ECONOMICS(SSCI);SOCIOLOGY(SSCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF EDUCATION,2.3,Q1,155/756,EDUCATION & EDUCATIONAL RESEARCH(SSCI),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF EMERGENCY MEDICINE,2.2,Q2,17/56,EMERGENCY MEDICINE(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,1.8,Q2,19/45,BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE);FOOD SCIENCE & TECHNOLOGY(SCIE);HORTICULTURE(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF EPIDEMIOLOGY,4.8,Q1,33/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF EVALUATION,1.0,Q2,129/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(SSCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF FAMILY THERAPY,0.9,Q3,49/66,"FAMILY STUDIES(SSCI);PSYCHOLOGY, CLINICAL(SSCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,0.8,Q4,18/22,"MEDICINE, LEGAL(SCIE);PATHOLOGY(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF GASTROENTEROLOGY,7.6,Q1,14/147,GASTROENTEROLOGY & HEPATOLOGY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,3.8,Q1,5/48,"GERIATRICS & GERONTOLOGY(SCIE);GERONTOLOGY(SSCI);PSYCHIATRY(SCIE, SSCI)",2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HEALTH ECONOMICS,2.0,Q2,212/617,ECONOMICS(SSCI);HEALTH POLICY & SERVICES(SSCI),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HEALTH EDUCATION,0.8,Q4,365/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HEALTH PROMOTION,2.4,Q2,157/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,2.3,Q3,202/352,PHARMACOLOGY & PHARMACY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HEMATOLOGY,9.9,Q1,10/98,HEMATOLOGY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HOSPICE & PALLIATIVE MEDICINE,1.4,Q4,142/185,HEALTH CARE SCIENCES & SERVICES(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HUMAN BIOLOGY,1.7,Q1,28/141,ANTHROPOLOGY(SSCI);BIOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HUMAN GENETICS,8.1,Q1,12/191,GENETICS & HEREDITY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF HYPERTENSION,3.1,Q2,31/98,PERIPHERAL VASCULAR DISEASE(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,3.1,Q1,98/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF INFECTION CONTROL,2.4,Q2,157/419,"INFECTIOUS DISEASES(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF INTERNATIONAL LAW,2.3,Q1,33/434,INTERNATIONAL RELATIONS(SSCI);LAW(SSCI),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF KIDNEY DISEASES,8.2,Q1,8/133,UROLOGY & NEPHROLOGY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF LAW & MEDICINE,0.6,Q2,204/434,LAW(SSCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF LEGAL HISTORY,0.3,Q3,278/434,LAW(ESCI),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF LIFESTYLE MEDICINE,1.3,Q4,315/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(ESCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MANAGED CARE,2.1,Q2,94/332,"HEALTH CARE SCIENCES & SERVICES(SCIE);HEALTH POLICY & SERVICES(SSCI);MEDICINE, GENERAL & INTERNAL(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MATHEMATICAL AND MANAGEMENT SCIENCES,,,,,,,,01966324,-,Taylor and Francis Ltd.,United States,"Business, Management and Accounting (all); Applied Mathematics",EI
AMERICAN JOURNAL OF MATHEMATICS,1.7,Q1,47/483,MATHEMATICS(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,1.7,Q3,134/191,GENETICS & HEREDITY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,1.5,Q3,200/288,GENETICS & HEREDITY(SCIE);PSYCHIATRY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,4.4,Q1,34/191,GENETICS & HEREDITY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MEDICAL QUALITY,1.3,Q4,146/185,HEALTH CARE SCIENCES & SERVICES(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MEDICINE,5.3,Q1,32/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF MENS HEALTH,2.4,Q2,157/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SSCI)",4,否,是,,,,,,JCR+CAS
AMERICAN JOURNAL OF NEPHROLOGY,3.2,Q1,29/133,UROLOGY & NEPHROLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF NEURORADIOLOGY,3.7,Q1,3/16,"CLINICAL NEUROLOGY(SCIE);NEUROIMAGING(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,1.8,Q3,125/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(ESCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF NURSING,2.0,Q2,64/192,"NURSING(SCIE, SSCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF OBSTETRICS & GYNECOLOGY MFM,3.1,Q1,23/140,OBSTETRICS & GYNECOLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY,8.4,Q1,3/140,OBSTETRICS & GYNECOLOGY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF OCCUPATIONAL THERAPY,2.1,Q2,47/173,REHABILITATION(SSCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF OPHTHALMOLOGY,4.2,Q1,12/98,OPHTHALMOLOGY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,3.0,Q1,36/162,"DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)",2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,2.1,Q1,10/94,SOCIAL WORK(SSCI),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF OTOLARYNGOLOGY,1.7,Q2,25/67,OTORHINOLARYNGOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PATHOLOGY,3.6,Q1,16/90,PATHOLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PERINATOLOGY,1.2,Q3,122/191,OBSTETRICS & GYNECOLOGY(SCIE);PEDIATRICS(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,3.5,Q1,15/86,"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHILOLOGY,0.6,,,CLASSICS(AHCI),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION,2.4,Q1,36/173,REHABILITATION(SCIE);SPORT SCIENCES(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSICS,0.9,Q3,56/86,"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE);PHYSICS, MULTIDISCIPLINARY(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,4.7,Q1,8/87,CELL BIOLOGY(SCIE);PHYSIOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,3.1,Q2,25/87,ENDOCRINOLOGY & METABOLISM(SCIE);PHYSIOLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,3.3,Q2,22/87,GASTROENTEROLOGY & HEPATOLOGY(SCIE);PHYSIOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,4.1,Q1,13/87,CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE);PHYSIOLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,3.5,Q1,19/87,PHYSIOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE),3,否,否,,,,,,JCR+CAS
"AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY, INTEGRATIVE AND COMPARATIVE PHYSIOLOGY",2.3,Q2,42/87,PHYSIOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,3.4,Q1,25/133,PHYSIOLOGY(SCIE);UROLOGY & NEPHROLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PLAY,0.5,Q3,172/271,"SOCIAL SCIENCES, INTERDISCIPLINARY(ESCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF POLITICAL SCIENCE,5.6,Q1,7/322,POLITICAL SCIENCE(SSCI),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF POTATO RESEARCH,1.8,Q2,54/129,AGRONOMY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PREVENTIVE CARDIOLOGY,5.9,Q1,34/230,CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI),2,否,是,,,,,,JCR+CAS
AMERICAN JOURNAL OF PREVENTIVE MEDICINE,4.5,Q1,38/419,"MEDICINE, GENERAL & INTERNAL(SCIE);PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",2,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PRIMATOLOGY,1.8,Q1,41/181,ZOOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PSYCHIATRY,14.7,Q1,5/288,"PSYCHIATRY(SCIE, SSCI)",1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PSYCHOLOGY,0.6,Q4,174/221,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PSYCHOTHERAPY,2.5,Q2,60/185,"PSYCHOLOGY, CLINICAL(ESCI)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF PUBLIC HEALTH,9.6,Q1,13/419,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)",2,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,2.4,Q3,22/42,IMMUNOLOGY(SCIE);REPRODUCTIVE BIOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,19.4,Q1,4/108,CRITICAL CARE MEDICINE(SCIE);RESPIRATORY SYSTEM(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,5.3,Q1,15/108,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);RESPIRATORY SYSTEM(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF RHINOLOGY & ALLERGY,2.3,Q1,13/67,OTORHINOLARYNGOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF ROENTGENOLOGY,6.1,Q1,17/212,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)",2,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SCIENCE,2.5,Q2,109/258,"GEOSCIENCES, MULTIDISCIPLINARY(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SEMIOTICS,0.1,,,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SEXUALITY EDUCATION,1.1,Q3,397/756,EDUCATION & EDUCATIONAL RESEARCH(ESCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SOCIOLOGY,3.6,Q1,11/219,SOCIOLOGY(SSCI),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,2.5,Q1,4/35,"AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY(SCIE);LINGUISTICS(SSCI);REHABILITATION(SCIE, SSCI)",3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SPORTS MEDICINE,4.5,Q1,10/139,ORTHOPEDICS(SCIE);SPORT SCIENCES(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF STEM CELLS,1.9,Q4,174/204,CELL BIOLOGY(ESCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SURGERY,2.7,Q1,64/312,SURGERY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF SURGICAL PATHOLOGY,4.2,Q1,25/312,PATHOLOGY(SCIE);SURGERY(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF THE MEDICAL SCIENCES,1.8,Q2,112/332,"MEDICINE, GENERAL & INTERNAL(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF THERAPEUTICS,2.5,Q3,181/352,PHARMACOLOGY & PHARMACY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH,1.6,Q3,142/195,"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF TRANSPLANTATION,8.2,Q1,1/31,SURGERY(SCIE);TRANSPLANTATION(SCIE),1,是,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,1.6,Q3,18/28,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE);TROPICAL MEDICINE(SCIE)",4,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL OF VETERINARY RESEARCH,1.4,Q2,76/170,VETERINARY SCIENCES(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN JOURNAL ON ADDICTIONS,1.9,Q3,37/58,SUBSTANCE ABUSE(SSCI),4,否,否,,,,,,JCR+CAS
AMERICAN JOURNALISM,0.3,Q4,197/227,COMMUNICATION(ESCI),3,否,否,,,,,,JCR+CAS
AMERICAN LAW AND ECONOMICS REVIEW,0.8,Q2,172/434,ECONOMICS(SSCI);LAW(SSCI),4,否,否,,,,,,JCR+CAS
AMERICAN LITERARY HISTORY,0.3,,,"LITERATURE, AMERICAN(AHCI)",2,否,否,,,,,,JCR+CAS
AMERICAN LITERARY REALISM,0.3,,,"LITERATURE, AMERICAN(AHCI)",3,否,否,,,,,,JCR+CAS
AMERICAN LITERARY SCHOLARSHIP,,,,,4,否,否,,,,,,CAS
AMERICAN LITERATURE,0.8,,,"LITERATURE, AMERICAN(AHCI)",3,否,否,,,,,,JCR+CAS
AMERICAN MALACOLOGICAL BULLETIN,,,,MARINE & FRESHWATER BIOLOGY(SCIE);ZOOLOGY(SCIE),4,否,否,,,,,,CAS
AMERICAN MATHEMATICAL MONTHLY,0.4,Q4,383/483,MATHEMATICS(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN MINERALOGIST,2.3,Q2,10/31,GEOCHEMISTRY & GEOPHYSICS(SCIE);MINERALOGY(SCIE),3,否,否,0003004X,19453027,Walter de Gruyter GmbH,United States,Geochemistry and Petrology; Geophysics,JCR+CAS+EI
AMERICAN MUSEUM NOVITATES,1.2,Q2,85/181,BIODIVERSITY CONSERVATION(SCIE);ZOOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN MUSIC,0.2,,,MUSIC(AHCI),3,否,否,,,,,,JCR+CAS
AMERICAN NATURALIST,2.7,Q2,70/200,ECOLOGY(SCIE);EVOLUTIONARY BIOLOGY(SCIE),2,否,否,,,,,,JCR+CAS
AMERICAN NINETEENTH CENTURY HISTORY,0.1,Q3,363/538,HISTORY(AHCI),4,否,否,,,,,,JCR+CAS
AMERICAN PERIODICALS,0.2,,,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",4,否,否,,,,,,JCR+CAS
AMERICAN PHILOSOPHICAL QUARTERLY,0.7,,,PHILOSOPHY(AHCI),2,否,否,,,,,,JCR+CAS
AMERICAN POETRY REVIEW,<0.1,,,POETRY(AHCI),4,否,否,,,,,,JCR+CAS
AMERICAN POLITICAL SCIENCE REVIEW,5.8,Q1,6/322,POLITICAL SCIENCE(SSCI),1,是,否,,,,,,JCR+CAS
AMERICAN POLITICAL THOUGHT,0.4,Q4,262/322,POLITICAL SCIENCE(ESCI),4,否,否,,,,,,JCR+CAS
AMERICAN POLITICS RESEARCH,1.8,Q2,120/322,POLITICAL SCIENCE(SSCI),3,否,否,,,,,,JCR+CAS
AMERICAN PSYCHOLOGIST,7.2,Q1,10/221,"PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)",1,是,否,,,,,,JCR+CAS
AMERICAN QUARTERLY,0.7,,,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",3,否,否,,,,,,JCR+CAS
AMERICAN REVIEW OF CANADIAN STUDIES,0.4,Q3,118/182,AREA STUDIES(ESCI),4,否,否,,,,,,JCR+CAS
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,2.5,Q2,29/90,PUBLIC ADMINISTRATION(SSCI),3,否,否,,,,,,JCR+CAS
AMERICAN SCIENTIST,0.6,Q3,98/135,MULTIDISCIPLINARY SCIENCES(SCIE),4,否,否,,,,,,JCR+CAS
AMERICAN SOCIOLOGICAL REVIEW,6.2,Q1,4/219,SOCIOLOGY(SSCI),1,是,否,,,,,,JCR+CAS
AMERICAN SOCIOLOGIST,1.1,Q3,131/219,SOCIOLOGY(ESCI),3,否,否,,,,,,JCR+CAS
AMERICAN SPEECH,0.8,Q3,174/303,LANGUAGE & LINGUISTICS(AHCI);LINGUISTICS(SSCI),4,否,否,,,,,,JCR+CAS
AMERICAN STATISTICIAN,2.1,Q1,33/167,STATISTICS & PROBABILITY(SCIE),3,否,否,,,,,,JCR+CAS
AMERICAN STUDIES IN SCANDINAVIA,0.4,,,"HUMANITIES, MULTIDISCIPLINARY(AHCI)",4,否,是,,,,,,JCR+CAS
AMERICAN SURGEON,0.9,Q3,229/312,SURGERY(SCIE),4,否,否,,,,,,JCR+CAS
"AMERICAN, BRITISH AND CANADIAN STUDIES",0.1,,,LITERARY THEORY & CRITICISM(ESCI);LITERATURE(ESCI),4,否,是,,,,,,JCR+CAS
AMERICANIA-REVISTA DE ESTUDIOS LATINOAMERICANOS,0.2,Q2,265/538,HISTORY(ESCI),4,否,是,,,,,,JCR+CAS
AMERICAS,0.6,Q1,65/538,"HISTORY(AHCI, SSCI)",1,是,否,,,,,,JCR+CAS
AMFITEATRU ECONOMIC,2.0,Q2,212/617,BUSINESS(SSCI);ECONOMICS(SSCI);MANAGEMENT(SSCI),4,否,是,,,,,,JCR+CAS
AMINO ACIDS,2.4,Q3,227/319,BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
AMME IDARESI DERGISI,0.1,Q4,89/90,PUBLIC ADMINISTRATION(SSCI),4,否,否,,,,,,JCR+CAS
AMPHIBIA-REPTILIA,1.3,Q2,75/181,ZOOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMPHIBIAN & REPTILE CONSERVATION,1.3,Q2,75/181,ZOOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,7.4,Q1,21/332,"BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);MEDICINE, GENERAL & INTERNAL(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)",2,否,否,,,,,,JCR+CAS
AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION,2.8,Q2,120/285,CLINICAL NEUROLOGY(SCIE),4,否,否,,,,,,JCR+CAS
ANACRONISMO E IRRUPCION,<0.1,Q4,313/322,POLITICAL SCIENCE(ESCI),4,否,是,,,,,,JCR+CAS
ANADOLU ARASTIRMALARI-ANATOLIAN RESEARCH,0.1,Q3,363/538,ARCHAEOLOGY(ESCI);HISTORY(ESCI),4,否,是,,,,,,JCR+CAS
ANADOLU UNIVERSITESI SANAT & TASARIM DERGISI-ANADOLU UNIVERSITY JOURNAL OF ART & DESIGN,0.2,,,ART(ESCI),4,否,否,,,,,,JCR+CAS
ANAEROBE,2.6,Q3,99/163,MICROBIOLOGY(SCIE),3,否,否,,,,,,JCR+CAS
ANAESTHESIA,6.9,Q1,3/68,ANESTHESIOLOGY(SCIE),1,是,否,,,,,,JCR+CAS
ANAESTHESIA AND INTENSIVE CARE,1.2,Q3,40/68,ANESTHESIOLOGY(SCIE);CRITICAL CARE MEDICINE(SCIE),4,否,否,,,,,,JCR+CAS
ANAESTHESIA AND INTENSIVE CARE MEDICINE,0.3,Q4,58/68,ANESTHESIOLOGY(ESCI),4,否,否,,,,,,JCR+CAS
ANAESTHESIA CRITICAL CARE & PAIN MEDICINE,4.7,Q1,8/68,ANESTHESIOLOGY(SCIE);CRITICAL CARE MEDICINE(SCIE),2,否,否,,,,,,JCR+CAS
ANAESTHESIA PAIN & INTENSIVE CARE,0.3,Q4,58/68,ANESTHESIOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
ANAESTHESIA REPORTS,0.8,Q3,48/68,ANESTHESIOLOGY(ESCI),4,否,否,,,,,,JCR+CAS
ANAESTHESIOLOGIE,1.0,Q3,42/68,ANESTHESIOLOGY(SCIE),4,否,否,,,,,,JCR+CAS
ANAESTHESIOLOGY INTENSIVE THERAPY,1.7,Q2,34/68,ANESTHESIOLOGY(ESCI),4,否,是,,,,,,JCR+CAS
ANAFORA,0.1,,,LITERATURE(ESCI),4,否,是,,,,,,JCR+CAS
ANAIS BRASILEIROS DE DERMATOLOGIA,3.6,Q1,18/96,DERMATOLOGY(SCIE),3,否,是,,,,,,JCR+CAS
ANAIS BRASILEIROS DE ESTUDOS TURISTICOS-ABET,0.3,Q4,130/139,"HOSPITALITY, LEISURE, SPORT & TOURISM(ESCI)",4,否,否,,,,,,JCR+CAS
ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,1.1,Q3,80/135,MULTIDISCIPLINARY SCIENCES(SCIE),4,否,是,,,,,,JCR+CAS
ANALECTA POLITICA,0.1,Q4,297/322,POLITICAL SCIENCE(ESCI),4,否,是,,,,,,JCR+CAS
ANALELE STIINTIFICE ALE UNIVERSITATII OVIDIUS CONSTANTA-SERIA MATEMATICA,0.7,Q2,239/483,"MATHEMATICS(SCIE);MATHEMATICS, APPLIED(SCIE)",4,否,是,,,,,,JCR+CAS
ANALELE UNIVERSITATII BUCURESTI-FILOSOFIE-ANNALS OF THE UNIVERSITY OF BUCHAREST-PHILOSOPHY,<0.1,,,PHILOSOPHY(ESCI),4,否,是,,,,,,JCR+CAS
ANALELE UNIVERSITATII BUCURESTI-STIINTE POLITICE,,,,,4,否,是,,,,,,CAS
ANALES AFA,0.1,Q4,113/114,"PHYSICS, MULTIDISCIPLINARY(ESCI)",4,否,是,,,,,,JCR+CAS
ANALES CERVANTINOS,0.2,,,"LITERATURE, ROMANCE(AHCI)",3,否,是,,,,,,JCR+CAS
ANALES DE DOCUMENTACION,0.4,Q4,132/166,INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI),4,否,是,,,,,,JCR+CAS
ANALES DE FILOLOGIA FRANCESA,<0.1,,,"LANGUAGE & LINGUISTICS(ESCI);LITERATURE, ROMANCE(ESCI)",4,否,是,,,,,,JCR+CAS
ANALES DE GEOGRAFIA DE LA UNIVERSIDAD COMPLUTENSE,0.1,Q4,157/173,GEOGRAPHY(ESCI),4,否,是,,,,,,JCR+CAS
ANALES DE HISTORIA DEL ARTE,0.2,,,ART(ESCI),3,否,是,,,,,,JCR+CAS
